,name,address,category,rating
0,Pizzeria Alle Scalette,Viale Curtatone 18,Pizzeria,
1,Piazza Giacomo Matteotti,Piazza Giacomo Matteotti,Plaza,
2,Basilica di San Domenico,Piazza San Domenico,Church,
4,Caffè La Piazzetta,Via Montanini 52,Bar,
5,Consorzio Agrario di Siena,Via Pianigiani Giuseppe 9,Grocery Store,
6,Il Masgalano,Via Camporegio 1,Pizzeria,
8,Il Pomodorino,Via Camporegio 13,Pizzeria,
10,Zest Ristorante & Winebar,Costa di Sant'Antonio 13,Wine Bar,
11,Antico Bar La Lizza,Piazza Antonio Gramsci 10,Bar,
12,Ristorante San Domenico,Via Camporegio 17,Restaurant,
14,La Taverna di San Giuseppe,Via Giovanni Duprè 132,Tuscan Restaurant,
15,Osteria Castelvecchio,Via Castelvecchio 65,Pizzeria,
16,Osteria da Cice,Via San Pietro 32,Italian Restaurant,
17,La Vecchia Latteria,Via San Pietro 10,Ice Cream Parlor,
18,Mensa Sant'Agata,Via Sant'Agata 1,Café,
19,Hotel Duomo SRL,Via Stalloreggi 38,Hotel,
20,Pinacotaca Nazionale di Siena,Via di San Pietro 29,Museum,
21,La Taverna Del Capitano,Via del Capitano 6,Pizzeria,
22,Boccon del Prete,Via di San Pietro 17,Trattoria,
23,Permalico Vini e Merende SNC di Mattii e Mottola,Costa Larga 4,Bar,
24,Gelateria Nice,Via di Pantaneto 152,Ice Cream Parlor,
25,Osteria La Sosta di Violante,Via di Pantaneto 115,Trattoria,
26,Da Gano,Via Pantaneto 146,Trattoria,
27,Supermercati Conad,Via Pantaneto,Grocery Store,
28,Bella Vista Social Pub,Via di pantaneto,Arts and Entertainment,
29,La Prosciutteria,Via di Pantaneto 89,Bar,
31,Meet Life Café,Via Pantaneto 90,Bar,
32,Porta Romana,Via Roma,Other Great Outdoors,
33,Grotta Gallo Nero,Via Porrione 65,Italian Restaurant,
35,Gallo Nero,Via del Porrione 65,Italian Restaurant,
37,Fortezza Medicea,Piazza Caduti delle Forze Armate,Landmarks and Outdoors,
38,Osteria del Buon Governo,Viale Vittorio Veneto 29,Diner,
39,Fondazione Siena Jazz - Accademia Nazionale del Jazz,Piazza Caduti delle Forze dell'Ordine,Music School,
40,Blandis Cafè & Wine Bar,Via Esterna di Fontebranda 50-52,Bar,
41,Fontebranda,Via di Fontebranda,Monument,
42,Osteria Enoteca Sotto Le Fonti,Via Esterna di Fontebranda 114,Trattoria,
43,Antiporto di Camollia,Via Vittorio Emanuele II,Historic and Protected Site,
44,Ravioli Wang,Viale Vittorio Emanuele II 38,Chinese Restaurant,
45,Gelateria Il Bacio,Via Vittorio Emanuele II 55,Ice Cream Parlor,
46,Turkish Pace Kebap,Viale Cavour,Turkish Restaurant,
47,Snack Bar 1961,Viale Vittorio Emanuele II 64,Café,
48,Vodafone Store,Corso Cavour 2,Mobile Phone Store,
49,Bar Impero Siena,Viale Vittorio Emanuele II 10,Cocktail Bar,
50,Sushiko,Piazzale Carlo Rosselli 25,Sushi Restaurant,
52,Pub Pizzeria La Risalita,Via Vittorio Emanuele 57,Pizzeria,
53,Solo Affitti - Siena,Viale Vittorio Emanuele II,Real Estate Agency,
54,Burger King,Viale Toselli,Burger Joint,
55,Simply viale Toselli,Piazza Maestri del Lavori,Department Store,
56,Prosalus Sanitaria,Viale Pietro Toselli 21,Medical Supply Store,
57,Donna Ripalta,Viale Pietro Toselli 41,BBQ Joint,
58,Acquedotto del Fiora,Viale Pietro Toselli 9,Food and Beverage Service,
59,Penny Market,Via Toselli 11,Dining and Drinking,
60,Rakki Sushi Siena,Piazza Maestri del Lavoro 31,Sushi Restaurant,
61,Vodafone Store,Via Toselli 116,Mobile Phone Store,
62,Ricoh Italia SRL,Viale Toselli Pietro 11,,
63,Terrecablate Reti e Servizi SRL,Viale Pietro Toselli 9,,
64,Fontebecci,Via Fiorentina 133,Pizzeria,
65,Bruzzese Tuttoparquet,Via Fiorentina 112,Carpet and Flooring Contractor,
66,Creme Gelateria Dolceria,Via Fiorentina 151,Cupcake Shop,
67,Pizzeria Poppi,Via Fiorentina 105,Pizzeria,
68,Al Fiumino,Via Giovanni Paolo II,Wine Bar,
70,McDonald's,Via Fiorentina 122,Burger Joint,
71,Centro Per L'impiego,Via Fiorentina 91,,
72,Pizzeria La Fenice,Via Fiorentina 88,Pizzeria,
73,Ristorante Il Mestolo,Via Fiorentina 81,Italian Restaurant,
74,Secar 2009,Via Fiorentina 116,Automotive Repair Shop,
75,Associazione Coccinelle - Amici del neonato,Viale Bracci 16,,
76,Ospedali Riuniti,Viale Mario Bracci 16,Hospital,
77,Azienda U.S.L. 7 di Siena,Viale Bracci Mario 16,Health and Medicine,
78,Azienda Ospedaliera Senese,Viale Bracci Mario 16,Hospital,
79,Pizzeria Tavola Calda Bracci,Viale Bracci 4,,
80,A.O. Universitaria Senese,Viale M. Bracci 16,,
81,Mensa San Miniato Ristorante,Via de Nicola 9,Restaurant,
83,Associazione Toscana Leucemie Onlus,Viale Bracci Mario 16,Community and Government,
84,Patologia Orale,Viale Bracci,,
85,Dr Maurizio Biagioli,Viale Bracci 16,Dermatologist,
86,Poste Italiane,Via Savina Petrilli 2,Post Office,
88,Pizzeria La Strana Coppia,Via Celso Cittadini 6,Pizzeria,
89,CUS Siena,Via Luciano Banchi 3,Gym and Studio,
90,Bar Giglio,Via Colombini 32,Bar,
92,Centro Servizi Familiari di Tavaglione M.& C. SNC,Via B. Tolomei 10,Metals Supplier,
93,Palacorsoni Siena,Via L. Banchi 5,Stadium,
94,Ufficio Anagrafe e Stato Civile,Via Bernardo Tolomei 7,Community and Government,
95,Parco Bernardino Ochino,Via Luciano Banchi,Sports and Recreation,
96,San Gonnario Beer Shop,Via Colombini 42,Beer Store,
98,Laboratorio Odontotecnico Senese di Boldrini Mario e C. - SNC,Via Savina Petrilli 17,Medical Center,
99,La Grotta di San Francesco,Via Baldassarre Peruzzi 20,Pizzeria,
100,Particolare di Siena,Via Baldassarre Peruzzi 26,Restaurant,
101,Osteria L'Osteria,Via dei Rossi 79,Italian Restaurant,
103,Tre Cristi,Vicolo di Provenzano 1,Italian Restaurant,
104,L'oro di Siena di Luppoli Marcellino & C. SNC,Via Giuseppe Garibaldi 61,Pizzeria,
106,Osteria Le Sorelline,Via dei Rossi 76,Restaurant,
107,Campetto da Basket di Ravacciano,Via del Vecchietta,Basketball Court,
108,Sushi Bar,Via Domenico Beccafumi 10,Trattoria,
110,Piazza Salimbeni,Piazza Salimbeni,Historic and Protected Site,
111,La Pizzeria di San Miniato,Piazza Palmiro Togliatti 2,Pizzeria,
112,Scaccini e Cucini di Scaccini S. e Cucini M SNC,Piazza Palmiro Togliatti 3,Bar,
113,Forno San Miniato,Piazza Togliatti 7,Wholesaler,
114,Cooperativa San Miniato,Piazza Palmiro Togliatti,Convenience Store,
116,Si Donna,Piazza Palmiro Togliatti 15,Business and Professional Services,
117,Cittinilandia,Via Achille Grandi 2,,
118,Farmacia Laguardia,Via Grandi 2,Drugstore,
119,Simus - Museo Anatomico Leonetto Comparini,Via Aldo Moro 2,Science Museum,
120,Circolo Acli San Miniato,Via Aldo Moro 4,Organization,
121,Mps Leasing & Factoring SPA,Via Aldo Moro 11,Loans Agency,
122,Punto Enel,Via Lauro de Bosis 26,Miscellaneous Store,
123,Chianti Banca,Via Lauro de Bosis 20,Bank,
124,GameStop,Piazzale Carlo Rosselli 22,,
125,Farmacia Comunale,"Stazione Ferroviaria di Siena, Piazzale Carlo Rosselli",Drugstore,
126,Ristorante Primo Binario,Piazza Carlo Rosselli 19,Pizzeria,
127,Bar Ristorante Stazione,Piazza Rosselli Carlo 6,Bar,
128,Cibiamo - La Bottega del Caffè,Piazza Carlo Rosselli 22,Coffee Shop,
129,Centro Commerciale Porta Siena,Piazza Carlo Rosselli 25,Shopping Mall,
130,Colours & Beauty,Piazzale carlo rosselli 25,Fashion Retail,
131,La Veranda,Piazza Calabria 20,Pizzeria,
132,Skilè Music Bar,Piazza Calabria 18,Arts and Entertainment,
133,Pasticceria Senese,piazza Calabria 25,Dessert Shop,
134,Motorizzazione Civile,Via delle Regioni 70,Government Building,
135,Agenzia Del Territorio,Via Liguria 4,Community and Government,
136,Studio Commerciale Associato Turillazzi,Via Liguria 19,Business and Strategy Consulting Office,
137,Skilè Music Pub,Piazza Calabria 18-19,Food and Beverage Retail,
138,Il Salottino di Moira,Piazza Calabria 16,,
139,Emporio Dell'Usato di Fantacci Luca e C.,Via delle Regioni 23,Vintage and Thrift Store,
140,Poste Italiane,Viale Giuseppe Mazzini 6,Post Office,
141,Bar Beccafumi SNC,Via Beccafumi 2,Bar,
142,Osteria di Kamollia,Via Camollia 114,Trattoria,
143,Osteria Il Vinaio,Via Camollia 167,Deli,
144,Enzo,Via Camollia 49,,
145,Bepharma,Via Simone Martini 25,Drugstore,
146,Trattoria Fonte Giusta,Via Camollia 102,Trattoria,
147,Mercato di Campagna Amica,Via Paolo Frajese 21,Farmers Market,
148,Enzo Sushi,Via Paolo Frajese 63,Restaurant,
149,Pista Engels Lambardi,Strada di Pescaia 121a,Hockey Field,
150,Cannoleria Ke Cassata,Strada di Pescaia 117,,
151,Il Tagliere di Lele,Strada Pescaia 129,Bar,
152,La Gelateria del 103,Strada di Pescaia 125,Pastry Shop,
153,Art Pizza e Bar al 103,Strada di Pescaia 103,Pizzeria,
154,Da Michele,Strada Massetana 64,Pizzeria,
155,Carrefour Express,Via di Pescaia 97,Grocery Store,
156,Podere Il Pero,Strada Montalbuccio 29,Bed and Breakfast,
157,Tea-Room Porta Giustizia,Via di Porta Giustizia 11,Bar,
158,Ristorante La Finestra,Piazza Mercato 14,Diner,
159,Gino Cacino,Piazza del Mercato 31,Food and Beverage Retail,
160,Piazza del Mercato,Piazza del Mercato,Plaza,
161,Trattoria Papei,Piazza del Mercato 6,Trattoria,
162,Maudit Pub,Vicolo della Fortuna 21,Dive Bar,
163,Palazzo Pubblico,Piazza del Campo 1,Historic and Protected Site,
164,Torre Del Mangia,Piazza del Campo,Monument,
165,Bed & Breakfast Fonte dei Tufi,Strada dei Tufi 59,Bed and Breakfast,
166,Emporio Musicale Senese,Strada di Cerchiaia 11,Music Store,
167,La Stramba,Strada dei Tufi 66,Vacation Rental,
168,M&Mj SRL Semplificata,Strada dei Tufi 66,,
169,Costa Del Sole SRL,Strada dei Tufi 61,,
170,Euronics,Strada Massetana Romana 62,Electronics Store,
171,Edilsiena SRL,Via Piccolomini Enea Silvio 185,,
172,Villa Il Borghetto,Via Tufi no. 64,,
173,Il Palazzetto,Strada del Lucherino 31,Hotel,
174,Studio Etruria di p.a. Megna,Via Enea Silvio Piccolomini 199,,
175,Pepi Luca,Via de Nicola Enrico 3,Upholstery Service,
176,Ditta B.F.M. di Bartali Fabrizio,Via Buozzi 65,Metals Supplier,
177,Mini Rolando,Via Enrico Berlinguer 19,Painter,
178,Vivenda SPA,Via Aldo Moro 2,,
179,Tempio Israelitico,Via delle Scotte,Synagogue,
180,Bartalini Mario,Via de Gasperi Alcide 2,Home Improvement Service,
181,Butini Arch. Riccardo,Via Lizzadri Oreste 27,Business and Professional Services,
182,Pasticceria Scacciapensieri,Via Nazareno Orlandi 8,Bar,
183,Pasticceria Pierini,Via Quinto Settano 5,Bakery,
184,Zelig Sociale Società Cooperativa Sociale A R. L.,Strada del Petriccio 49,,
185,Centro Diagnostico Senese,Via Cittadini 7,Healthcare Clinic,
186,Erboristeria La Pimpinella,Via Celso Cittadini 16,Alternative Medicine Clinic,
187,Parrocchia Beato Bernardo Tolomei,Via Tolomei Bernardo 1,Church,
188,Dr. Vigni Farmacia,Via Quinto Settano 1,Drugstore,
189,Bovicelli Roberto,Via Gallerani 23,Dentist,
190,La Taverna di San Giuseppe,Via Giovanni Dupre 132,Tuscan,5.0
196,Zest,Costa di Sant'antonio 13,Italian,4.5
204,Café Nannini,Piazza Matteotti 32,Cafes,4.5
209,La Chiacchiera,Via Costa di San Antonio 4,Italian,4.0
214,Compagnia dei Vinattieri,"Via delle Terme, 79",Tuscan,4.0
219,Pizzeria alle Scalette,Viale Curtatone 18,Pizza,4.5
221,Il Bargello,Via di Citta' 53,Bars,4.5
228,Salefino Vino e Cucina,Via degli Umiliati 1,Tuscan,4.5
235,Antica Osteria da Divo,Via Franciosa 25,Italian,4.0
242,La Prosciutteria,Via di Pantaneto,Wine Bars,4.5
249,Duomo di Siena,Piazza del Duomo 8,Landmarks & Historical Buildings,5.0
255,Prètto,Via dei Termini 4,Salumerie,4.0
262,Fonte Giusta,Via Camollia 102,Tuscan,4.5
268,Il Masgalano,Via Camporegio 1,Tuscan,5.0
271,Ristorante San Domenico,Via di camporegio 15,Tuscan,4.5
274,Vi Vace,Via Stalloreggi 64,Pizza,4.5
280,Nannini,Via Banchi di Sopra 24,Desserts,4.0
283,Taverna di Cecco,Via Cecco Angliolieri 19,Tuscan,4.5
290,Antica Trattoria Papei,Via del Mercato 6,Tuscan,4.0
296,Pizzeria di Nonno Mede,Via Camporegio 21,Pizza,4.0
297,Numero Unico,Via di Citta 125,Italian,4.5
302,Ri.Me.,Via Giovanni Duprè 90,Tuscan,4.5
306,Ostaria dá Cice,Via San Pietro 32,Italian,4.0
309,Pizzicheria de Miccoli,Via di Città 95,Pizza,4.5
314,Osteria Permalico,Via Costa Larga 4,Desserts,4.5
315,Gallo Nero,Via del Porrione 65,Tuscan,4.5
321,Ristorante San Desiderio,Piazza L. Bonelli 2,Italian,4.0
324,Osteria Castelvecchio,Via Castelvecchio 65,Tuscan,4.5
325,Antica Trattoria Stalloreggi,Via Stalloreggi 37,Tuscan,4.0
326,La Vecchia Latteria,Via San Pietro 10,Gelato,4.5
327,Osteria Nonna Gina,"Via Piano dei Mantellini, 2",Tuscan,4.0
329,Bio & Chocolate,Via Pantaneto 75,Cafes,5.0
331,Osteria La Sosta di Violante,Via di Pantaneto 115,Tuscan,4.5
332,Osteria Babazuf,"Via di Pantaneto, 85",Pizza,4.5
333,Osteria Le Logge,Via del Porrione 33,Italian,4.0
336,L'orto de' pecci,Via di Porta Giustizia 39,Italian,5.0
337,Ravioli Wang,Viale Vittorio Emanuele II 38,Chinese,5.0
340,Il Vinaio,Via Camollia 167,Sandwiches,4.5
343,Ristorante Pizzeria I Gabellieri,Via V. Emanuele 75,Pizza,4.0
345,Osteria di Kamollia,Via di Camollia 114,Tuscan,4.0
348,L'oro di Siena,Via Garibaldi 61,Pizza,5.0
351,Osteria Il Grattacielo,Via Pontani 8,Italian,4.0
352,Ristorante Da Enzo,Via Camollia 49,Italian,4.5
354,Buti pasticceria,"Viale Vittorio Emanuele II, 53",Chocolatiers & Shops,5.0
356,Cafe Berta,Piazza Guido Chigi Saracini,Cafes,4.5
358,Ristorante Minohana,Viale Vittorio Emanuele II 32,Tuscan,1.0
360,Havana Club,Piazza Maestri del Lavoro 27,Cuban,5.0
361,Donna Ripalta,Viale Pietro Toselli 41,Tuscan,4.0
362,Albergo Certosa di Maggiano,"Str. di Certosa, 82",Hotels & Travel,5.0
363,Fontebecci,Via Fiorentina 133,Pizza,2.0
367,Mc Donald's,Via Fiorentina 124,Fast Food,2.0
371,la veranda,Piazza Calabria,Italian,4.5
376,Antica Trattoria Botteganova,Strada Chiantigiana 29,Italian,5.0
378,Dream Cafe',"Str. Statale 222 Chiantigiana, 13",Bars,4.0
381,Skile' Music Bar,Piazza Calabria 18,Cafes,3.0
386,Dopolavoro La Foce,Strada della Vittorio 90,Italian,5.0
389,Hotel Garden,Via Custoza 2,Venues & Event Spaces,3.0
391,Sushiko,Piazzale Carlo Rosselli 25,Sushi Bars,4.0
392,Susy Sushi,Piazza Rosselli,Japanese,4.0
393,La Grotta di San Francesco,Via Camollia 25,Seafood,5.0
394,Mozzarella e Basilico,Piazzale Rosselli 25,Trattorie,1.0
395,Tia Loca,Via Bettino Ricasoli 55,Pizza,2.5
396,Pasta Mondo,Via Camollia 173,Pizza,5.0
397,Corsini,Via Armando Diaz 4,Desserts,3.5
398,La Mandorla,Via Camollia 36,Desserts,5.0
399,Cartazucchero,Via Camollia 92,Used Bookstore,5.0
400,Mugolone,Via dei Pellegrini 8,Italian,5.0
402,Da Michele,Strada Massetana 64,Tuscan,5.0
403,Da Michele,Strada Massetana 64,Tuscan,3.0
404,Sotto le Fonti,Via Esterna di Fontebranda 114,Pizza,4.5
405,Biovita,Via Massetana Romana 54,Cafeteria,5.0
406,BAR Il Barrino,"Str. Massetana Romana, 5",Bars,5.0
407,BAR dei Mantellini di Melani Fabiola,"Via Piano dei Mantellini, 22",Bars,5.0
408,Nannini,Via Banchi di Sopra 24,Cafeteria,2.0
409,Fontebranda,Via di Fontebranda 73,Landmarks & Historical Buildings,4.0
410,Antica Salumeria Salvini Ciofi Soccol e Zanolli,"Str. Statale 73 Ponente, 46",,3.0
411,Il Tocco,Via Cassia Sud 122,Pizza,4.0
412,Bar Cecco,Viale Camillo Benso Conte Di Cavour,Cafes,3.0
